id;accuracy;pred_1_1;pred_1_0;pred_0_1;pred_0_0;class_recall_1_1;class_recall_0_0;class_precision_1_1;class_precision_0_0;number_of_trees;max_depth;pruning,,,accuracy,pred. false / true false,pred. true / true false,pred. false / true true,pred. true / true true,class recall / true false,class recall / true true,class precision,class precision,number of trees,maximal depth,prepruning
41;74.40%;314;179;141;616;63.69%;81.37%;69.01%;77.48%;400;15;FALSE,,41,74.40,314,179,141,616,63.69,81.37,69.01,77.48,400,15,FALSE
42;74.80%;315;178;137;620;63.89%;81.90%;69.69%;77.69%;500;15;FALSE,,42,74.80,315,178,137,620,63.89,81.90,69.69,77.69,500,15,FALSE
43;74.56%;308;185;133;624;62.47%;82.43%;69.84%;77.13%;50;20;FALSE,,43,74.56,308,185,133,624,62.47,82.43,69.84,77.13,50,20,FALSE
44;74.48%;312;181;138;619;63.29%;81.77%;69.33%;77.38%;100;20;FALSE,,44,74.48,312,181,138,619,63.29,81.77,69.33,77.38,100,20,FALSE
45;74.88%;308;185;129;628;62.47%;82.96%;70.48%;77.24%;200;20;FALSE,,45,74.88,308,185,129,628,62.47,82.96,70.48,77.24,200,20,FALSE
46;74.88%;308;185;129;628;62.47%;82.96%;70.48%;77.24%;300;20;FALSE,,46,74.88,308,185,129,628,62.47,82.96,70.48,77.24,300,20,FALSE
47;74.72%;305;188;128;629;61.87%;83.09%;70.44%;76.99%;400;20;FALSE,,47,74.72,305,188,128,629,61.87,83.09,70.44,76.99,400,20,FALSE
48;74.72%;306;187;129;628;62.07%;82.96%;70.34%;77.06%;500;20;FALSE,,48,74.72,306,187,129,628,62.07,82.96,70.34,77.06,500,20,FALSE
49;74.32%;306;187;134;623;62.07%;82.30%;69.55%;76.91%;50;25;FALSE,,49,74.32,306,187,134,623,62.07,82.30,69.55,76.91,50,25,FALSE
50;74.40%;308;185;135;622;62.47%;82.17%;69.53%;77.08%;100;25;FALSE,,50,74.40,308,185,135,622,62.47,82.17,69.53,77.08,100,25,FALSE
51;74.48%;308;185;134;623;62.47%;82.30%;69.68%;77.10%;200;25;FALSE,,51,74.48,308,185,134,623,62.47,82.30,69.68,77.10,200,25,FALSE
52;74.88%;308;185;129;628;62.47%;82.96%;70.48%;77.24%;300;25;FALSE,,52,74.88,308,185,129,628,62.47,82.96,70.48,77.24,300,25,FALSE
53;74.72%;305;188;128;629;61.87%;83.09%;70.44%;76.99%;400;25;FALSE,,53,74.72,305,188,128,629,61.87,83.09,70.44,76.99,400,25,FALSE
54;74.64%;306;187;130;627;62.07%;82.83%;70.18%;77.03%;500;25;FALSE,,54,74.64,306,187,130,627,62.07,82.83,70.18,77.03,500,25,FALSE
55;74.16%;302;191;132;625;61.26%;82.56%;69.59%;76.59%;50;30;FALSE,,55,74.16,302,191,132,625,61.26,82.56,69.59,76.59,50,30,FALSE
56;74.32%;307;186;135;622;62.27%;82.17%;69.46%;76.98%;100;30;FALSE,,56,74.32,307,186,135,622,62.27,82.17,69.46,76.98,100,30,FALSE
57;74.24%;303;190;132;625;61.46%;82.56%;69.66%;76.69%;200;30;FALSE,,57,74.24,303,190,132,625,61.46,82.56,69.66,76.69,200,30,FALSE
58;74.56%;302;191;127;630;61.26%;83.22%;70.40%;76.74%;300;30;FALSE,,58,74.56,302,191,127,630,61.26,83.22,70.40,76.74,300,30,FALSE
59;74.64%;301;192;125;632;61.05%;83.49%;70.66%;76.70%;400;30;FALSE,,59,74.64,301,192,125,632,61.05,83.49,70.66,76.70,400,30,FALSE
60;74.40%;300;193;127;630;60.85%;83.22%;70.26%;76.55%;500;30;FALSE,,60,74.40,300,193,127,630,60.85,83.22,70.26,76.55,500,30,FALSE
