"funding_total_usd ";"name";"market ";"funding_rounds";"founded_at";"first_funding_at";"Statuts"
"1100000";"Skilljar";"Training ";1;2013-01-01 00:00:00;2013-11-19 00:00:00;0
"100000";"Skillset";"Education ";1;2013-07-01 00:00:00;2013-11-01 00:00:00;0
"10750168";"Skillshare";"Education ";4;2010-11-01 00:00:00;2011-05-01 00:00:00;0
"1100000";"SkillSlate";"Service Providers ";1;2009-01-01 00:00:00;2010-10-20 00:00:00;0
"1800000";"SkillSurvey";"Employment ";1;2002-01-01 00:00:00;2008-05-05 00:00:00;0
"16300000";"Skillz";"Games ";5;2012-04-01 00:00:00;2012-11-15 00:00:00;0
"100000";"SkimaTalk";"Education ";1;2012-01-01 00:00:00;2012-10-24 00:00:00;0
"20000";"Skimble";"Android ";1;2010-01-01 00:00:00;2011-05-01 00:00:00;0
"12000000";"Skinit, Inc.";"Manufacturing ";1;2003-01-01 00:00:00;2011-06-09 00:00:00;0
"9438712";"SkinMedica";"Biotechnology ";1;1999-01-01 00:00:00;2009-06-11 00:00:00;0
"100000";"Skinny Mom";"Health and Wellness ";1;2011-04-01 00:00:00;2013-03-15 00:00:00;0
"15000";"Skipjump";"Vacation Rentals ";1;2008-12-01 00:00:00;2009-01-01 00:00:00;0
"2000000";"Skoodat";"K-12 Education ";2;2008-11-04 00:00:00;2008-11-04 00:00:00;0
"750000";"Skoovy";"Social Media ";1;2012-02-01 00:00:00;2012-02-01 00:00:00;0
"23000000";"Skorpios Technologies";"Health and Wellness ";3;2009-01-01 00:00:00;2010-08-30 00:00:00;0
"22000000";"Skout";"Social Media ";2;2007-01-01 00:00:00;2010-07-01 00:00:00;0
"750000";"Skubana";"Enterprise Software ";1;2013-08-01 00:00:00;2014-01-01 00:00:00;0
"1692454";"Skully Helmets";"Automotive ";1;2013-02-01 00:00:00;2014-08-11 00:00:00;0
"1598000";"Skulpt";"Health and Wellness ";3;2009-07-08 00:00:00;2013-04-16 00:00:00;0
"28000";"SkuRun";"Mobile ";1;2012-06-01 00:00:00;2013-02-01 00:00:00;0
"940000";"Skweez";"SMS ";1;2004-03-01 00:00:00;2012-04-01 00:00:00;0
"200000";"Sky Frequency";"Mobile ";1;2010-01-01 00:00:00;2011-05-09 00:00:00;0
"15000000";"SKY MobileMedia";"Semiconductors ";1;2003-01-01 00:00:00;2006-01-17 00:00:00;0
"10000000";"SkyBitz";"Software ";1;1995-01-01 00:00:00;2007-02-07 00:00:00;0
"91000000";"Skybox Imaging";"Aerospace ";3;2009-01-05 00:00:00;2009-07-31 00:00:00;0
"23754000";"Skybox Security";"Network Security ";5;2002-01-01 00:00:00;2006-03-28 00:00:00;0
"100000";"SkyBridge";"Clean Technology ";1;1992-01-01 00:00:00;2010-02-16 00:00:00;0
"12258800";"SkyCache";"Networking ";2;2011-01-01 00:00:00;2012-04-01 00:00:00;0
"19670000";"Skycatch";"Aerospace ";4;2013-01-01 00:00:00;2013-07-01 00:00:00;0
"75000";"Skycheckin";"Web Hosting ";1;2012-06-01 00:00:00;2013-01-15 00:00:00;0
"41299476";"Skycross";"Manufacturing ";5;2000-01-01 00:00:00;2009-02-03 00:00:00;0
"4000000";"Skydeck";"Messaging ";2;2012-12-10 00:00:00;2008-02-01 00:00:00;0
"2500000";"SKYE Associates";"E-Commerce ";1;2006-01-01 00:00:00;2013-10-31 00:00:00;0
"20000";"Skyepack";"Mobile ";1;2012-01-01 00:00:00;2012-12-31 00:00:00;0
"51600000";"Skyera";"Enterprise Software ";1;2010-01-01 00:00:00;2013-02-21 00:00:00;0
"30000000";"Skyfiber";"Wireless ";1;1996-01-01 00:00:00;2009-03-27 00:00:00;0
"40800000";"Skyfire Labs";"Enterprise Software ";5;2006-04-01 00:00:00;2007-06-01 00:00:00;0
"17000000";"SkyFuel";"Clean Technology ";1;2007-01-01 00:00:00;2008-04-01 00:00:00;0
"66500000";"Skyhigh Networks";"Data Security ";3;2011-01-01 00:00:00;2012-04-09 00:00:00;0
"16800000";"Skyhook Wireless";"Mobile ";3;2003-01-01 00:00:00;2004-01-01 00:00:00;0
"100000";"Skyhouse, Inc.";"Apps ";1;2014-08-04 00:00:00;2014-09-01 00:00:00;0
"7227000";"SkyKick";"Enterprise Software ";4;2011-10-01 00:00:00;2012-03-13 00:00:00;0
"15950000";"Skylight Healthcare Systems";"Health and Wellness ";4;1999-01-01 00:00:00;2002-10-25 00:00:00;0
"3000000";"Skyline Innovations";"Clean Technology ";2;2009-08-01 00:00:00;2012-07-02 00:00:00;0
"3101676";"Skyline Medical Inc.";"Health Care ";4;2002-01-01 00:00:00;2009-11-04 00:00:00;0
"143500000";"Skyonic";"Environmental Innovation ";5;2005-01-01 00:00:00;2010-02-08 00:00:00;0
"68400000";"SkyPilot Networks";"Web Hosting ";4;2000-01-01 00:00:00;2001-01-01 00:00:00;0
"17000000";"Skyrider";"Advertising ";2;2003-01-01 00:00:00;2006-10-23 00:00:00;1
"500000";"SkyRiver Technology Solutions";"Software ";1;2009-01-01 00:00:00;2009-08-26 00:00:00;0
"5000000";"Skyroam";"Wireless ";1;2008-01-01 00:00:00;2013-12-01 00:00:00;0
"2600000";"skyrockit";"Mobile ";1;2001-01-01 00:00:00;2011-07-12 00:00:00;1
"500000";"Skyscraper";"Brand Marketing ";2;2012-01-01 00:00:00;2012-05-22 00:00:00;0
"595000";"SkySpecs";"Aerospace ";1;2012-03-29 00:00:00;2013-08-19 00:00:00;0
"4000000";"Skystream Markets";"Clean Technology ";2;2009-01-01 00:00:00;2012-04-17 00:00:00;0
"29510000";"Skytap";"Enterprise Software ";5;2006-01-01 00:00:00;2007-08-01 00:00:00;0
"6000000";"Skytide";"Video Streaming ";1;2004-01-01 00:00:00;2005-08-15 00:00:00;0
"21575000";"Skytree";"Big Data ";4;2012-01-01 00:00:00;2012-02-23 00:00:00;0
"1672000";"SkyWard IO, Inc.";"Software ";2;2012-12-01 00:00:00;2014-05-18 00:00:00;0
"4000000";"Skyway Software";"Software ";1;2001-01-01 00:00:00;2007-05-16 00:00:00;1
