"funding_total_usd ";"name";"market ";"status";"funding_rounds";"founded_at";"first_funding_at";"Statuts"
"2000000";"Machine Perception Technologies";"Software ";"closed";1;2008-01-01 00:00:00;2012-08-03 00:00:00;1
"13300000";"Machine Zone, Inc.";"Games ";"operating";3;2008-01-01 00:00:00;2008-01-01 00:00:00;0
"3000000";"MachineShop, Inc";"Local Businesses ";"operating";1;2012-01-01 00:00:00;2014-03-20 00:00:00;0
"67550000";"Machinima";"Video ";"operating";6;2000-01-01 00:00:00;2008-11-06 00:00:00;0
"1040000";"Machinio";"Construction ";"operating";2;2013-01-01 00:00:00;2013-06-03 00:00:00;0
"55000";"Maclear";"Software ";"operating";1;2010-01-01 00:00:00;2014-03-17 00:00:00;0
"57016500";"MacroGenics";"Health Care ";"operating";2;2000-01-01 00:00:00;2006-05-17 00:00:00;0
"10125301";"MacuLogix";"Health Care ";"operating";3;2004-01-01 00:00:00;2012-07-30 00:00:00;0
"110000";"Mad Mimi";"Curated Web ";"acquired";1;2008-04-17 00:00:00;2007-04-16 00:00:00;0
"165000";"MadeClose";"Local ";"operating";2;2013-03-01 00:00:00;2013-08-15 00:00:00;0
"9918168";"Madefire";"Mobile ";"operating";3;2011-01-01 00:00:00;2011-10-20 00:00:00;0
"1500000";"MadeiraCloud";"Apps ";"operating";2;2011-06-01 00:00:00;2011-06-01 00:00:00;0
"550000";"Madison Plus Select / HeyGorgeous.com";"Retail ";"operating";2;2013-09-01 00:00:00;2013-12-01 00:00:00;0
"16000000";"Madison Reed, Inc.";"Beauty ";"operating";2;2013-01-01 00:00:00;2013-04-29 00:00:00;0
"315000";"madKast";"Curated Web ";"acquired";2;2007-03-01 00:00:00;2007-08-01 00:00:00;0
"5500000";"Madwire";"Enterprise Software ";"operating";1;2009-01-01 00:00:00;2014-07-29 00:00:00;0
"17000000";"Maestro Healthcare Technology";"Health Care ";"operating";1;2013-01-01 00:00:00;2014-04-14 00:00:00;0
"25000";"Magellan Bioscience Group";"Biotechnology ";"operating";1;1997-01-01 00:00:00;2012-09-17 00:00:00;0
"50000";"Magellan Global Health";"Biotechnology ";"operating";1;2010-01-01 00:00:00;2010-11-22 00:00:00;0
"618060";"Magellan Spine Technologies";"Software ";"operating";1;2006-01-01 00:00:00;2009-06-02 00:00:00;0
"22500000";"Magento";"E-Commerce ";"acquired";1;2010-01-01 00:00:00;2010-03-15 00:00:00;0
"5000";"Magic Fire Mobile";"Software ";"operating";1;2012-02-01 00:00:00;2014-10-26 00:00:00;0
"592000000";"Magic Leap";"Video ";"operating";2;2011-01-01 00:00:00;2014-02-05 00:00:00;0
"100000";"Magic Rock Entertainment";"Film ";"closed";1;2006-04-01 00:00:00;2006-04-01 00:00:00;1
"285075";"Magic Wheels";"Biotechnology ";"operating";1;1996-01-01 00:00:00;2010-02-17 00:00:00;0
"5000";"Magicblox";"Mobile ";"operating";1;2010-06-01 00:00:00;2010-08-01 00:00:00;0
"118000";"Magicflix";"iOS ";"operating";1;2013-10-21 00:00:00;2014-11-14 00:00:00;0
"27000000";"Maginatics";"Enterprises ";"operating";2;2010-01-01 00:00:00;2011-07-13 00:00:00;0
"20500000";"Magisto";"Apps ";"operating";4;2011-09-19 00:00:00;2010-05-01 00:00:00;0
"2000000";"Magma Flooring";"Software ";"operating";1;2012-07-01 00:00:00;2014-02-06 00:00:00;0
"3665000";"Magneceutical Health";"Biotechnology ";"operating";2;2011-05-09 00:00:00;2011-11-17 00:00:00;0
"59767166";"Magnet Systems";"Sales and Marketing ";"operating";2;2008-01-01 00:00:00;2011-04-27 00:00:00;0
"15250000";"Magnetic";"Ad Targeting ";"operating";3;2008-01-01 00:00:00;2009-03-16 00:00:00;0
"2500000";"magnify360";"Personalization ";"operating";1;2005-01-01 00:00:00;2008-08-12 00:00:00;0
"30353274";"Magnolia Broadband";"Semiconductors ";"operating";4;2000-01-01 00:00:00;2006-01-24 00:00:00;0
"2677776";"Magnolia Medical Technologies";"Hardware + Software ";"operating";2;2011-01-01 00:00:00;2011-12-21 00:00:00;0
"70273798";"Magnum Semiconductor";"Semiconductors ";"operating";4;2005-01-01 00:00:00;2007-05-10 00:00:00;0
"100000";"Magnus Health";"Health Care ";"operating";2;2006-01-01 00:00:00;2006-01-01 00:00:00;0
"13000000";"Magzter";"Mobile ";"operating";2;2011-06-01 00:00:00;2012-02-01 00:00:00;0
"21000000";"Mahalo";"Search ";"operating";2;2007-03-01 00:00:00;2006-01-01 00:00:00;0
"100000";"Mahoot Games";"E-Commerce ";"operating";2;2011-03-01 00:00:00;2011-01-01 00:00:00;0
"35000000";"Mail.com Media Corporation";"Email ";"closed";1;2004-01-01 00:00:00;2008-10-21 00:00:00;1
"1500000";"MailFrontier";"Messaging ";"operating";1;2002-01-01 00:00:00;2006-01-10 00:00:00;0
"1100000";"Mailgun";"Messaging ";"acquired";2;2010-02-07 00:00:00;2010-01-01 00:00:00;0
"290000";"MailLift";"SaaS ";"operating";4;2013-01-16 00:00:00;2013-05-31 00:00:00;0
"2600000";"MailPix";"Printing ";"operating";4;2012-02-01 00:00:00;2013-01-24 00:00:00;0
"1241250";"MailTime";"Email ";"operating";3;2013-03-20 00:00:00;2013-09-30 00:00:00;0
"21000000";"Main Street Hub";"CRM ";"operating";4;2010-01-01 00:00:00;2011-10-01 00:00:00;0
"1000";"Main Street Stark";"Startups ";"operating";1;2010-09-06 00:00:00;2010-11-06 00:00:00;0
"2200000";"Mainframe2";"Virtualization ";"operating";1;2012-01-01 00:00:00;2014-11-19 00:00:00;0
"12000000";"MaintenanceNet";"SaaS ";"operating";1;2004-01-01 00:00:00;2014-02-19 00:00:00;0
"25520545";"Maiyet";"Fashion ";"operating";1;2011-01-01 00:00:00;2014-11-13 00:00:00;0
"2400000";"Majeska & Associates";"Software ";"operating";1;2010-01-01 00:00:00;2010-08-04 00:00:00;0
"69000000";"Major League Gaming";"Games ";"operating";6;2002-09-30 00:00:00;2006-02-01 00:00:00;0
"3000000";"Makana Solutions";"Software ";"acquired";1;2004-01-01 00:00:00;2007-05-07 00:00:00;0
"5000000";"Makani Power";"Clean Technology ";"acquired";1;2006-01-01 00:00:00;2008-08-23 00:00:00;0
"1000000";"Make It Work";"Hardware ";"closed";1;1995-01-01 00:00:00;2005-11-15 00:00:00;1
"15809261";"Make Meaning";"E-Commerce ";"operating";2;2011-01-01 00:00:00;2011-11-18 00:00:00;0
"400000";"Make YES! Happen";"Games ";"operating";1;2011-01-01 00:00:00;2012-09-24 00:00:00;0
"176455";"makeena";"Incentives ";"operating";3;2013-01-01 00:00:00;2013-07-07 00:00:00;0
"2000000";"makemoji";"Internet ";"operating";2;2013-10-01 00:00:00;2014-08-01 00:00:00;0
"3050000";"Maker Media";"Media ";"operating";1;2013-01-01 00:00:00;2013-04-01 00:00:00;0
"66000000";"Maker Studios";"Games ";"acquired";4;2009-01-01 00:00:00;2010-12-01 00:00:00;0
"1000000";"Maker's Row";"Marketplaces ";"operating";1;2012-11-01 00:00:00;2013-07-19 00:00:00;0
"10000000";"MakerBot";"DIY ";"acquired";1;2009-01-01 00:00:00;2011-08-23 00:00:00;0
"1500000";"MakersKit";"DIY ";"operating";1;2013-02-15 00:00:00;2014-07-01 00:00:00;0
"220000";"makerSQR";"Curated Web ";"operating";1;2013-01-01 00:00:00;2013-05-01 00:00:00;0
